id,title,category,year,venue,pdf_present,page_present,pdf_path,page_path,golf_fit
3dgs_avatar,3DGS-Avatar: Animatable Avatars via Deformable 3D Gaussian Splatting,human_gs_2024,2024,CVPR 2024,true,true,papers/3dgs_avatar-3dgs-avatar-animatable-avatars-via-deformable-3d-gaussian-splatting.pdf,pages/3dgs_avatar-3dgs-avatar-animatable-avatars-via-deformable-3d-gaussian-splatting.html,High
4d_rotor_gs,4D-Rotor Gaussian Splatting: Towards Efficient Novel View Synthesis for Dynamic Scenes,general_4dgs,2024,arXiv 2024,true,true,papers/4d_rotor_gs-4d-rotor-gaussian-splatting-towards-efficient-novel-view-synthesis-for-dynamic-s.pdf,pages/4d_rotor_gs-4d-rotor-gaussian-splatting-towards-efficient-novel-view-synthesis-for-dynamic-s.html,Low
4dgs,4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,general_4dgs,2024,CVPR 2024,true,true,papers/4dgs-4d-gaussian-splatting-for-real-time-dynamic-scene-rendering.pdf,pages/4dgs-4d-gaussian-splatting-for-real-time-dynamic-scene-rendering.html,Medium
4dgt,4DGT: Learning a 4D Gaussian Transformer Using Real-World Monocular Videos,feedforward_4d,2025,NeurIPS 2025,true,true,papers/4dgt-4dgt-learning-a-4d-gaussian-transformer-using-real-world-monocular-videos.pdf,pages/4dgt-4dgt-learning-a-4d-gaussian-transformer-using-real-world-monocular-videos.html,Medium
4k4d,4K4D: Real-Time 4D View Synthesis at 4K Resolution,dense_multiview,2024,CVPR 2024,true,true,papers/4k4d-4k4d-real-time-4d-view-synthesis-at-4k-resolution.pdf,pages/4k4d-4k4d-real-time-4d-view-synthesis-at-4k-resolution.html,High
ahoy,AHOY! Animatable Humans under Occlusion from YouTube Videos with Gaussian Splatting and Video Diffusion Priors,frontier_2026,2026,arXiv 2026,true,true,papers/ahoy-ahoy-animatable-humans-under-occlusion-from-youtube-videos-with-gaussian-splatti.pdf,pages/ahoy-ahoy-animatable-humans-under-occlusion-from-youtube-videos-with-gaussian-splatti.html,Medium
animatable_gaussians,Animatable Gaussians: Learning Pose-dependent Gaussian Maps for High-fidelity Human Avatar Modeling,human_gs_2024,2024,CVPR 2024,true,true,papers/animatable_gaussians-animatable-gaussians-learning-pose-dependent-gaussian-maps-for-high-fidelity-hum.pdf,pages/animatable_gaussians-animatable-gaussians-learning-pose-dependent-gaussian-maps-for-high-fidelity-hum.html,High
ash,ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,human_gs_2024,2024,CVPR 2024,true,true,papers/ash-ash-animatable-gaussian-splats-for-efficient-and-photoreal-human-rendering.pdf,pages/ash-ash-animatable-gaussian-splats-for-efficient-and-photoreal-human-rendering.html,High
bard_gs,BARD-GS: Blur-Aware Reconstruction of Dynamic Scenes via Gaussian Splatting,blur_fast_motion,2025,CVPR 2025,true,true,papers/bard_gs-bard-gs-blur-aware-reconstruction-of-dynamic-scenes-via-gaussian-splatting.pdf,pages/bard_gs-bard-gs-blur-aware-reconstruction-of-dynamic-scenes-via-gaussian-splatting.html,High
clocap_gs,CloCap-GS: Clothed Human Performance Capture with 3D Gaussian Splatting,sparse_multiview_extra,2025,TIP 2025,false,true,,pages/clocap_gs-clocap-gs-clothed-human-performance-capture-with-3d-gaussian-splatting.html,Very High
deblur_avatar,Deblur-Avatar: Animatable Avatars from Motion-Blurred Monocular Videos,blur_fast_motion,2025,arXiv 2025,true,true,papers/deblur_avatar-deblur-avatar-animatable-avatars-from-motion-blurred-monocular-videos.pdf,pages/deblur_avatar-deblur-avatar-animatable-avatars-from-motion-blurred-monocular-videos.html,Very High
deep_relightable_textures,Deep Relightable Textures: Volumetric Performance Capture with Neural Rendering,relightable_legacy,2020,SIGGRAPH 2020,true,true,papers/deep_relightable_textures-deep-relightable-textures-volumetric-performance-capture-with-neural-rendering.pdf,pages/deep_relightable_textures-deep-relightable-textures-volumetric-performance-capture-with-neural-rendering.html,High
diffuman4d,Diffuman4D: 4D Consistent Human View Synthesis from Sparse-View Videos with Spatio-Temporal Diffusion Models,frontier_2025,2025,ICCV 2025,true,true,papers/diffuman4d-diffuman4d-4d-consistent-human-view-synthesis-from-sparse-view-videos-with-spati.pdf,pages/diffuman4d-diffuman4d-4d-consistent-human-view-synthesis-from-sparse-view-videos-with-spati.html,High
distributed_mlps,Real-time High-fidelity Gaussian Human Avatars with Position-based Interpolation of Spatially Distributed MLPs,frontier_2025,2025,CVPR 2025,true,true,papers/distributed_mlps-real-time-high-fidelity-gaussian-human-avatars-with-position-based-interpolation.pdf,pages/distributed_mlps-real-time-high-fidelity-gaussian-human-avatars-with-position-based-interpolation.html,High
dna_rendering,DNA-Rendering: A Diverse Neural Actor Repository for High-Fidelity Human-Centric Rendering,benchmark,2023,ICCV 2023,true,true,papers/dna_rendering-dna-rendering-a-diverse-neural-actor-repository-for-high-fidelity-human-centric-.pdf,pages/dna_rendering-dna-rendering-a-diverse-neural-actor-repository-for-high-fidelity-human-centric-.html,High
dualgs,Robust Dual Gaussian Splatting for Immersive Human-centric Volumetric Videos,volumetric_video,2024,arXiv 2024,true,true,papers/dualgs-robust-dual-gaussian-splatting-for-immersive-human-centric-volumetric-videos.pdf,pages/dualgs-robust-dual-gaussian-splatting-for-immersive-human-centric-volumetric-videos.html,Very High
dut,Real-time Free-view Human Rendering from Sparse-view RGB Videos using Double Unprojected Textures,sparse_multiview_2025,2025,CVPR 2025,true,true,papers/dut-real-time-free-view-human-rendering-from-sparse-view-rgb-videos-using-double-unp.pdf,pages/dut-real-time-free-view-human-rendering-from-sparse-view-rgb-videos-using-double-unp.html,Very High
