"id","category","title","year","venue","pdf_url","page_url","relevance","golf_fit"
"hnerf","foundational","H-NeRF: Neural Radiance Fields for Rendering and Temporal Reconstruction of Humans in Motion","2021","NeurIPS 2021","https://arxiv.org/pdf/2110.13746.pdf","https://research.google/pubs/h-nerf-neural-radiance-fields-for-rendering-and-temporal-reconstruction-of-humans-in-motion/","Foundational human dynamic NeRF with sparse-view/monocular framing.","Medium"
"humannerf","foundational","HumanNeRF: Free-viewpoint Rendering of Moving People from Monocular Video","2022","CVPR 2022","https://arxiv.org/pdf/2201.04127.pdf","https://research.google/pubs/humannerf-free-viewpoint-rendering-of-moving-people-from-monocular-video/","Key monocular human baseline for free-viewpoint playback.","Medium"
"flexnerf","foundational","FlexNeRF: Photorealistic Free-viewpoint Rendering of Moving Humans from Sparse Views","2023","CVPR 2023","https://arxiv.org/pdf/2303.14368.pdf","https://arxiv.org/abs/2303.14368","Sparse calibrated multi-view human rendering baseline.","High"
"monohuman","foundational","MonoHuman: Animatable Human Neural Field from Monocular Video","2023","CVPR 2023","https://arxiv.org/pdf/2304.02001.pdf","https://arxiv.org/abs/2304.02001","Important monocular animatable-human baseline.","Medium"
"dynibar","foundational","DynIBaR: Neural Dynamic Image-Based Rendering","2023","CVPR 2023","https://arxiv.org/pdf/2211.11082.pdf","https://research.google/pubs/dynibar-neural-dynamic-image-based-rendering/","General dynamic monocular NVS reference from Google Research.","Medium"
"humanrf","dense_multiview","HumanRF: High-Fidelity Neural Radiance Fields for Humans in Motion","2023","SIGGRAPH 2023","https://arxiv.org/pdf/2305.06356.pdf","https://actors-hq.com/","Dense multi-view high-fidelity human volumetric video baseline tied to ActorsHQ.","Very High"
"4k4d","dense_multiview","4K4D: Real-Time 4D View Synthesis at 4K Resolution","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_4K4D_Real-Time_4D_View_Synthesis_at_4K_Resolution_CVPR_2024_paper.pdf","https://openaccess.thecvf.com/content/CVPR2024/html/Xu_4K4D_Real-Time_4D_View_Synthesis_at_4K_Resolution_CVPR_2024_paper.html","High-resolution dynamic view synthesis reference for quality ceilings.","High"
"dna_rendering","benchmark","DNA-Rendering: A Diverse Neural Actor Repository for High-Fidelity Human-Centric Rendering","2023","ICCV 2023","https://openaccess.thecvf.com/content/ICCV2023/papers/Cheng_DNA-Rendering_A_Diverse_Neural_Actor_Repository_for_High-Fidelity_Human-Centric_Rendering_ICCV_2023_paper.pdf","https://dna-rendering.github.io/","Large-scale human dataset and benchmark for rendering/generalization.","High"
"pku_dymvhumans","benchmark","PKU-DyMVHumans: A Multi-View Video Benchmark for High-Fidelity Dynamic Human Modeling","2024","arXiv 2024","https://arxiv.org/pdf/2403.16080.pdf","https://pku-dymvhumans.github.io/","Benchmark focused on high-fidelity dynamic human modeling.","High"
"monodygaubench","benchmark","Monocular Dynamic Gaussian Splatting is Fast and Brittle but Smooth Motion Helps","2024","arXiv 2024","https://arxiv.org/pdf/2412.04457.pdf","https://arxiv.org/abs/2412.04457","Benchmark paper useful for tempering monocular GS claims.","Very High"
"hugs","human_gs_2024","HUGS: Human Gaussian Splats","2024","CVPR 2024","https://arxiv.org/pdf/2311.17910.pdf","https://machinelearning.apple.com/research/hugs","Influential monocular human-plus-scene Gaussian method from Apple + MPI.","High"
"gauhuman","human_gs_2024","GauHuman: Articulated Gaussian Splatting from Monocular Human Videos","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Hu_GauHuman_Articulated_Gaussian_Splatting_from_Monocular_Human_Videos_CVPR_2024_paper.pdf","https://openaccess.thecvf.com/content/CVPR2024/html/Hu_GauHuman_Articulated_Gaussian_Splatting_from_Monocular_Human_Videos_CVPR_2024_paper.html","Strong monocular articulated-human GS baseline.","High"
"gaussianavatar","human_gs_2024","GaussianAvatar: Towards Realistic Human Avatar Modeling from a Single Video via Animatable 3D Gaussians","2024","CVPR 2024 / C&G 2025","https://arxiv.org/pdf/2312.02134.pdf","https://arxiv.org/abs/2312.02134","Monocular animatable avatar with dynamic appearance modeling.","High"
"splattingavatar","human_gs_2024","SplattingAvatar: Realistic Real-Time Human Avatars with Mesh-Embedded Gaussian Splatting","2024","CVPR 2024","https://openaccess.thecvf.com/content/CVPR2024/papers/Shao_SplattingAvatar_Realistic_Real-Time_Human_Avatars_with_Mesh-Embedded_Gaussian_Splatting_CVPR_2024_paper.pdf","https://arxiv.org/abs/2403.05087","Mesh-embedded GS avatar model; relevant to detail retention and controllability.","High"
"3dgs_avatar","human_gs_2024","3DGS-Avatar: Animatable Avatars via Deformable 3D Gaussian Splatting","2024","CVPR 2024","https://arxiv.org/pdf/2312.09228.pdf","https://arxiv.org/abs/2312.09228","Canonical-space deformable GS avatar baseline.","High"
