"id","category","title","year","venue","pdf_url","page_url","relevance","golf_fit"
"neural_body","legacy_foundational","Neural Body: Implicit Neural Representations with Structured Latent Codes for Novel View Synthesis of Dynamic Humans","2021","CVPR 2021","https://openaccess.thecvf.com/content/CVPR2021/papers/Peng_Neural_Body_Implicit_Neural_Representations_With_Structured_Latent_Codes_for_CVPR_2021_paper.pdf","https://zju3dv.github.io/neuralbody/","Foundational structured-latent dynamic human NeRF baseline.","Medium"
"neuralhumanfvv","legacy_foundational","NeuralHumanFVV: Real-Time Neural Volumetric Human Performance Rendering using RGB Cameras","2021","CVPR 2021","https://openaccess.thecvf.com/content/CVPR2021/papers/Suo_NeuralHumanFVV_Real-Time_Neural_Volumetric_Human_Performance_Rendering_Using_RGB_Cameras_CVPR_2021_paper.pdf","https://nowheretrix.github.io/neuralhumanFVV/","Early high-quality neural volumetric human performance rendering from RGB cameras.","High"
"function4d","legacy_foundational","Function4D: Real-Time Human Volumetric Capture from Very Sparse Consumer RGBD Sensors","2021","CVPR 2021","https://openaccess.thecvf.com/content/CVPR2021/papers/Yu_Function4D_Real-Time_Human_Volumetric_Capture_From_Very_Sparse_Consumer_RGBD_CVPR_2021_paper.pdf","https://arxiv.org/abs/2105.01859","Sparse-sensor volumetric capture system with strong practical framing.","Medium"
"fewshot_rgbd","legacy_foundational","Few-shot Neural Human Performance Rendering from Sparse RGBD Videos","2021","IJCAI 2021","https://www.ijcai.org/proceedings/2021/0130.pdf","https://www.ijcai.org/proceedings/2021/130","Relevant sparse-RGBD rendering baseline for few-view capture.","Medium"
"monoport","legacy_foundational","Monocular Real-Time Volumetric Performance Capture","2020","ECCV 2020","https://arxiv.org/pdf/2007.13988.pdf","https://project-splinter.github.io/monoport/","Important monocular real-time volumetric capture precursor.","Medium"
"neural_human_performer","legacy_foundational","Neural Human Performer: Learning Generalizable Radiance Fields for Human Performance Rendering","2021","ICCV 2021","https://arxiv.org/pdf/2109.07448.pdf","https://youngjoongunc.github.io/nhp/","Generalizable human performance rendering prior to GS wave.","High"
"gpnerf","legacy_foundational","Geometry-Guided Progressive NeRF for Generalizable and Efficient Neural Human Rendering","2022","ECCV 2022","https://arxiv.org/pdf/2112.04312.pdf","https://arxiv.org/abs/2112.04312","Generalizable human renderer with strong geometry prior.","High"
"hdhuman","legacy_foundational","HDHuman: High-Quality Human Novel-View Rendering from Sparse Views","2022","CVPR 2022","https://arxiv.org/pdf/2201.08158.pdf","https://tiansong97.github.io/hdhuman/","High-quality sparse-view human NVS baseline.","High"
"human_perf_wild","legacy_foundational","Human Performance Capture from Monocular Video in the Wild","2021","3DV 2021","https://arxiv.org/pdf/2111.14672.pdf","https://www.research-collection.ethz.ch/handle/20.500.11850/517541","Monocular-in-the-wild performance capture baseline.","Medium"
"hifecap","legacy_foundational","HiFECap: Monocular High-Fidelity and Expressive Capture of Human Performances","2022","BMVC 2022","https://arxiv.org/pdf/2210.05665.pdf","https://arxiv.org/abs/2210.05665","High-fidelity monocular performance capture baseline from MPI.","High"
"hf_avatar_single_rgb","legacy_foundational","High-Fidelity Human Avatars from a Single RGB Camera","2022","CVPR 2022","https://openaccess.thecvf.com/content/CVPR2022/papers/Zhao_High-Fidelity_Human_Avatars_From_a_Single_RGB_Camera_CVPR_2022_paper.pdf","https://cic.tju.edu.cn/faculty/likun/projects/HF-Avatar/","Explicitly quality-oriented monocular avatar paper.","High"
"hosnerf","human_object_legacy","HOSNeRF: Dynamic Human-Object-Scene Neural Radiance Fields from a Single Video","2023","ICCV 2023","https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_HOSNeRF_Dynamic_Human-Object-Scene_Neural_Radiance_Fields_from_a_Single_Video_ICCV_2023_paper.pdf","https://showlab.github.io/HOSNeRF/","Important monocular human-object-scene reconstruction reference.","Very High"
"deep_relightable_textures","relightable_legacy","Deep Relightable Textures: Volumetric Performance Capture with Neural Rendering","2020","SIGGRAPH 2020","https://vcai.mpi-inf.mpg.de/projects/DeepRelightableTextures/Deep_Relightable_Textures.pdf","https://vcai.mpi-inf.mpg.de/projects/DeepRelightableTextures/","Early premium-quality relightable performance capture reference.","High"
"lookingood","relightable_legacy","LookinGood: Enhancing Performance Capture with Real-Time Neural Re-Rendering","2018","SIGGRAPH Asia 2018","https://3dvar.com/Martin-Brualla2019LookinGood.pdf","https://research.google/pubs/lookingood-enhancing-performance-capture-with-real-time-neural-re-rendering/","Neural re-rendering paper relevant to post-enhancing coarse human captures.","Medium"
"gaussianbody","human_gs_extra","GaussianBody: Clothed Human Reconstruction via 3D Gaussian Splatting","2024","arXiv 2024","https://arxiv.org/pdf/2401.09720.pdf","https://arxiv.org/abs/2401.09720","Direct clothed-human 3DGS reconstruction method.","High"
"gps_gaussian","sparse_multiview_extra","GPS-Gaussian: Generalizable Pixel-Wise 3D Gaussian Splatting for Real-Time Human Novel View Synthesis","2024","CVPR 2024","https://arxiv.org/pdf/2312.02155.pdf","https://arxiv.org/abs/2312.02155","Generalizable human GS from sparse inputs.","Very High"
"gps_gaussian_plus","sparse_multiview_extra","GPS-Gaussian+: Generalizable Pixel-wise 3D Gaussian Splatting for Real-Time Human-Scene Rendering from Sparse Views","2025","TPAMI 2025 / arXiv 2024","https://arxiv.org/pdf/2411.11363.pdf","https://arxiv.org/abs/2411.11363","Extended human-scene generalizable GS from sparse views.","Very High"
"generalizable_human_gaussians","sparse_multiview_extra","Generalizable Human Gaussians for Sparse View Synthesis","2024","ECCV 2024","https://arxiv.org/pdf/2407.12777.pdf","https://humansensinglab.github.io/Generalizable-Human-Gaussians/","Sparse-view generalizable human Gaussian model.","Very High"
