id,category,title,year,venue,pdf_url,page_url,relevance,golf_fit
3dgs_avatar,human_gs_2024,3DGS-Avatar: Animatable Avatars via Deformable 3D Gaussian Splatting,2024,CVPR 2024,https://arxiv.org/pdf/2312.09228.pdf,https://arxiv.org/abs/2312.09228,Canonical-space deformable GS avatar baseline.,High
4d_rotor_gs,general_4dgs,4D-Rotor Gaussian Splatting: Towards Efficient Novel View Synthesis for Dynamic Scenes,2024,arXiv 2024,https://arxiv.org/pdf/2402.03307.pdf,https://arxiv.org/abs/2402.03307,General dynamic GS reference emphasizing XYZT Gaussians.,Low
4dgs,general_4dgs,4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Wu_4D_Gaussian_Splatting_for_Real-Time_Dynamic_Scene_Rendering_CVPR_2024_paper.pdf,https://guanjunwu.github.io/4dgs/,Foundational general dynamic 4D Gaussian representation.,Medium
4dgt,feedforward_4d,4DGT: Learning a 4D Gaussian Transformer Using Real-World Monocular Videos,2025,NeurIPS 2025,https://arxiv.org/pdf/2506.08015.pdf,https://4dgt.github.io/,Meta feed-forward monocular 4D reconstruction frontier.,Medium
4k4d,dense_multiview,4K4D: Real-Time 4D View Synthesis at 4K Resolution,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Xu_4K4D_Real-Time_4D_View_Synthesis_at_4K_Resolution_CVPR_2024_paper.pdf,https://openaccess.thecvf.com/content/CVPR2024/html/Xu_4K4D_Real-Time_4D_View_Synthesis_at_4K_Resolution_CVPR_2024_paper.html,High-resolution dynamic view synthesis reference for quality ceilings.,High
ahoy,frontier_2026,AHOY! Animatable Humans under Occlusion from YouTube Videos with Gaussian Splatting and Video Diffusion Priors,2026,arXiv 2026,https://arxiv.org/pdf/2603.17975.pdf,https://miraymen.github.io/ahoy/,Current frontier monocular work for heavy occlusion and unseen regions.,Medium
animatable_gaussians,human_gs_2024,Animatable Gaussians: Learning Pose-dependent Gaussian Maps for High-fidelity Human Avatar Modeling,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Animatable_Gaussians_Learning_Pose-dependent_Gaussian_Maps_for_High-fidelity_Human_Avatar_CVPR_2024_paper.pdf,https://arxiv.org/abs/2311.16096,Pose-dependent Gaussian maps for high-fidelity avatar detail.,High
ash,human_gs_2024,ASH: Animatable Gaussian Splats for Efficient and Photoreal Human Rendering,2024,CVPR 2024,https://openaccess.thecvf.com/content/CVPR2024/papers/Pang_ASH_Animatable_Gaussian_Splats_for_Efficient_and_Photoreal_Human_Rendering_CVPR_2024_paper.pdf,https://vcai.mpi-inf.mpg.de/projects/ash/,Texture-space Gaussian avatar method from MPI; relevant to sparse-view/high-quality avatar modeling.,High
bard_gs,blur_fast_motion,BARD-GS: Blur-Aware Reconstruction of Dynamic Scenes via Gaussian Splatting,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Lu_BARD-GS_Blur-Aware_Reconstruction_of_Dynamic_Scenes_via_Gaussian_Splatting_CVPR_2025_paper.pdf,https://arxiv.org/abs/2503.15835,General dynamic blur-aware GS reconstruction; useful for fast-motion capture constraints.,High
clocap_gs,sparse_multiview_extra,CloCap-GS: Clothed Human Performance Capture with 3D Gaussian Splatting,2025,TIP 2025,,https://wangkangkan.github.io/CloCap-GS/,Clothed human performance capture with 3DGS; useful despite non-open PDF.,Very High
deblur_avatar,blur_fast_motion,Deblur-Avatar: Animatable Avatars from Motion-Blurred Monocular Videos,2025,arXiv 2025,https://arxiv.org/pdf/2501.13335.pdf,https://arxiv.org/abs/2501.13335,Blur-aware human avatar reconstruction directly relevant to fast golf swings.,Very High
deep_relightable_textures,relightable_legacy,Deep Relightable Textures: Volumetric Performance Capture with Neural Rendering,2020,SIGGRAPH 2020,https://vcai.mpi-inf.mpg.de/projects/DeepRelightableTextures/Deep_Relightable_Textures.pdf,https://vcai.mpi-inf.mpg.de/projects/DeepRelightableTextures/,Early premium-quality relightable performance capture reference.,High
diffuman4d,frontier_2025,Diffuman4D: 4D Consistent Human View Synthesis from Sparse-View Videos with Spatio-Temporal Diffusion Models,2025,ICCV 2025,https://openaccess.thecvf.com/content/ICCV2025/papers/Jin_Diffuman4D_4D_Consistent_Human_View_Synthesis_from_Sparse-View_Videos_with_ICCV_2025_paper.pdf,https://openaccess.thecvf.com/content/ICCV2025/html/Jin_Diffuman4D_4D_Consistent_Human_View_Synthesis_from_Sparse-View_Videos_with_ICCV_2025_paper.html,Diffusion-based sparse-view 4D human synthesis frontier.,High
distributed_mlps,frontier_2025,Real-time High-fidelity Gaussian Human Avatars with Position-based Interpolation of Spatially Distributed MLPs,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Zhan_Real-time_High-fidelity_Gaussian_Human_Avatars_with_Position-based_Interpolation_of_Spatially_CVPR_2025_paper.pdf,https://openaccess.thecvf.com/content/CVPR2025/html/Zhan_Real-time_High-fidelity_Gaussian_Human_Avatars_with_Position-based_Interpolation_of_Spatially_CVPR_2025_paper.html,Current high-fidelity Gaussian human avatar method emphasizing distributed MLP appearance modeling.,High
dna_rendering,benchmark,DNA-Rendering: A Diverse Neural Actor Repository for High-Fidelity Human-Centric Rendering,2023,ICCV 2023,https://openaccess.thecvf.com/content/ICCV2023/papers/Cheng_DNA-Rendering_A_Diverse_Neural_Actor_Repository_for_High-Fidelity_Human-Centric_Rendering_ICCV_2023_paper.pdf,https://dna-rendering.github.io/,Large-scale human dataset and benchmark for rendering/generalization.,High
dualgs,volumetric_video,Robust Dual Gaussian Splatting for Immersive Human-centric Volumetric Videos,2024,arXiv 2024,https://arxiv.org/pdf/2409.08353.pdf,https://nowheretrix.github.io/DualGS/,Human-centric volumetric video playback/compression method.,Very High
dut,sparse_multiview_2025,Real-time Free-view Human Rendering from Sparse-view RGB Videos using Double Unprojected Textures,2025,CVPR 2025,https://openaccess.thecvf.com/content/CVPR2025/papers/Sun_Real-time_Free-view_Human_Rendering_from_Sparse-view_RGB_Videos_using_Double_CVPR_2025_paper.pdf,https://vcai.mpi-inf.mpg.de/projects/DUT/,State-of-the-art sparse-view human rendering with 4K emphasis.,Very High
dynibar,foundational,DynIBaR: Neural Dynamic Image-Based Rendering,2023,CVPR 2023,https://arxiv.org/pdf/2211.11082.pdf,https://research.google/pubs/dynibar-neural-dynamic-image-based-rendering/,General dynamic monocular NVS reference from Google Research.,Medium
easyvolcap,tooling_dataset,EasyVolcap: Accelerating Neural Volumetric Video Research,2023,SIGGRAPH Asia 2023 TC / arXiv,https://arxiv.org/pdf/2312.06575.pdf,https://arxiv.org/abs/2312.06575,Important open-source volumetric video research toolkit.,Medium
efficienthuman,monocular_human_2025,EfficientHuman: Efficient Training and Reconstruction of Moving Human using Articulated 2D Gaussian,2025,arXiv 2025,https://arxiv.org/pdf/2504.20607.pdf,https://arxiv.org/abs/2504.20607,Articulated 2D surfel-like approach; more speed-oriented than quality-oriented.,Medium
eva,frontier_2025,EVA: Expressive Virtual Avatars from Multi-view Videos,2025,arXiv 2025,https://pure.mpg.de/pubman/item/item_3656969_5/component/file_3656970/arXiv%3A2505.15385.pdf,https://arxiv.org/abs/2505.15385,High-end expressive multi-view avatar modeling from MPI lineage.,High
event_guided_human_scene_gs,blur_fast_motion,Event-guided 3D Gaussian Splatting for Dynamic Human and Scene Reconstruction,2025,arXiv 2025,https://arxiv.org/pdf/2509.18566.pdf,https://arxiv.org/abs/2509.18566,Event-camera reconstruction path for severe fast motion and blur.,Very High
exavatar,explicit_avatar_extra,Expressive Whole-Body 3D Gaussian Avatar,2024,ECCV 2024,https://www.ecva.net/papers/eccv_2024/papers_ECCV/papers/05715.pdf,https://mks0601.github.io/ExAvatar/,Whole-body expressive Gaussian avatar from short monocular video.,High
